year,region,species
2014,unknown,Eulemur fulvus
2014,Alaotra-Mangoro,Eulemur fulvus
2014,Antsinanana,Eulemur fulvus
2014,Sofia,Eulemur fulvus
2014,unknown,Eulemur rufifrons
2014,Sofia,Eulemur rufus
2014,Diana,Eulemur sanfordi
2014,Sava,Eulemur sanfordi
2014,unknown,Eulemur sp.
2014,Atsimo-Andrefana,Eulemur sp.
2014,Atsimo-Andrefana,Eulemur sp.
2014,Alaotra-Mangoro,Hapalemur sp.
2014,Alaotra-Mangoro,Hapalemur sp.
2014,Analamanga,Hapalemur sp.
2014,unknown,Lemur catta
2014,unknown,Lemur catta
2014,Analanjirofo,Lemur catta
2014,Anosy,Lemur catta
2014,Anosy,Lemur catta
2014,Atsimo-Andrefana,Lemur catta
2014,Atsimo-Andrefana,Lemur catta
2014,Atsimo-Andrefana,Lemur catta
2014,Atsimo-Andrefana,Lemur catta
2014,Atsimo-Andrefana,Lemur catta
2014,Atsimo-Andrefana,Lemur catta
2014,Atsimo-Andrefana,Lemur catta
2014,Haute Matsiatra,Lemur catta
2014,unknown,Microcebus murinus
2014,Atsinanana,Varecia sp.
2014,Alaotra-Mangoro,Varecia variegata
2014,Analanjirofo,Varecia variegata
2014,Analanjirofo,Varecia variegata
2014,Atsinanana,Varecia variegata
2015,unknown,unknown
2015,Atsimo-Andrefana,unknown
2015,Boeny,unknown
2015,Diana,unknown
2015,Sava,Eulemur albifrons
2015,Sava,Eulemur coronatus
2015,Atsinanana,Eulemur fulvus
2015,Itasy,Eulemur fulvus
2015,Analamanga,Eulemur macaco
2015,Sofia,Eulemur sp.
2015,Sava,Hapalemur occidentalis
2015,Anosy,Hapalemur sp.
2015,Anosy,Lemur catta
2015,Anosy,Lemur catta
2015,Anosy,Lemur catta
2015,Atsimo-Andrefana,Lemur catta
2015,Atsimo-Andrefana,Lemur catta
2015,Atsimo-Andrefana,Lemur catta
2015,Atsinanana,Lemur catta
2015,Ihorombe,Lemur catta
2015,unknown,Microcebus sp.
2015,Atsinanana,Varecia sp.
2015,unknown,Varecia variegata
2015,Itasy,Varecia variegata
unknown,unknown,unknown
unknown,unknown,unknown
unknown,unknown,unknown
unknown,Ile Sainte Marie,unknown
unknown,unknown,Cheirogaleus sp.
unknown,Analanjirofo,Eulemur albifrons
unknown,Sava,Eulemur albifrons
unknown,unknown,Eulemur collaris
unknown,Diana,Eulemur coronatus
unknown,Sava,Eulemur coronatus
unknown,unknown,Eulemur fulvus
unknown,unknown,Eulemur fulvus
unknown,Atsimo-Atsinanana,Eulemur fulvus
unknown,Boeny,Eulemur fulvus
unknown,Diana,Eulemur fulvus
unknown,Diana,Eulemur fulvus
unknown,Menabe,Eulemur fulvus
unknown,Sofia,Eulemur fulvus
unknown,Diana,Eulemur macaco
unknown,unknown,Eulemur mongoz
unknown,unknown,Eulemur rufifrons
unknown,Boeny,Eulemur rufus
unknown,unknown,Eulemur sp.
unknown,unknown,Eulemur sp.
unknown,unknown,Hapalemur griseus
unknown,unknown,Hapalemur griseus
unknown,unknown,Hapalemur griseus
unknown,Sava,Hapalemur occidentalis
unknown,unknown,Hapalemur sp.
unknown,Atsinanana,Hapalemur sp.
unknown,unknown,Lemur catta
unknown,unknown,Lemur catta
unknown,unknown,Lemur catta
unknown,unknown,Lemur catta
unknown,unknown,Lemur catta
unknown,unknown,Lemur catta
unknown,Atsimo-Andrefana,Lemur catta
unknown,Atsimo-Andrefana,Lemur catta
unknown,Atsimo-Andrefana,Lemur catta
unknown,Atsimo-Andrefana,Lemur catta
unknown,Atsimo-Andrefana,Lemur catta
unknown,Atsimo-Andrefana,Lemur catta
unknown,unknown,Lepilemur sp.
unknown,unknown,Microcebus murinus
unknown,unknown,Microcebus myoxinus
unknown,unknown,Microcebus myoxinus
unknown,unknown,Microcebus sp.
unknown,Analanjirofo,Microcebus sp.
unknown,Atsinanana,Microcebus sp.
unknown,unknown,Propithecus coquereli
unknown,unknown,Propithecus diadema
unknown,unknown,Propithecus diadema
unknown,unknown,Propithecus sp.
unknown,Analamanga,Propithecus sp.
unknown,Atsimo-Andrefana,Propithecus sp.
unknown,Boeny,Propithecus sp.
unknown,Sava,Varecia sp.
unknown,unknown,Varecia variegata
unknown,Ile Sainte Marie,Varecia variegata
unknown,unknown,unknown
2013,unknown,Daubetonia madagascariensis
2013,unknown,Indri indri
2014,unknown,Daubetonia madagascariensis
2014,unknown,Indri indri
